id,State,EC Votes,DAVG,RAVG,TAVG,DMI,RMI,TMI
AL,Alabama,9,38.9,56.8,4.3,0.95,1.01,1.01
AK,Alaska,3,44,50,6,0.95,1.01,1.02
AZ,Arizona,11,48.8,44.1,5,0.98,1.03,1.01
AR,Arkansas,6,45,47,5,0.98,1.04,1.01
CA,California,55,62.3,29.7,8,1.05,0.97,1.02
CO,Colorado,9,54,39.5,6,1.02,0.97,1.01
CT,Connecticut,7,55.5,33.3,6,1.03,0.97,1.01
DE,Delaware,3,58,37,6,1.05,0.96,1.02
DC,District of Columbia,3,85,15,5,1.05,0.95,1.01
FL,Florida,29,49.6,43.7,7,1,1.02,1.01
GA,Georgia,16,45.9,46.3,5,0.98,1.02,1.02
HI,Hawaii,3,56,29,5,1.05,0.95,1.01
ID,Idaho,4,30,60,10,0.98,1.03,1.01
IL,Illinois,20,60,30,10,1.03,0.96,1.02
IN,Indiana,11,39.2,52.6,7,0.98,1.03,1.01
IA,Iowa,6,45.3,46.2,7,1.01,1.05,1.01
KS,Kansas,6,41.6,49.9,6,0.98,1.01,1.02
KY,Kentucky,8,39.9,55.3,10,0.95,1.02,1.01
LA,Louisiana,8,38,55,7,0.95,1.03,1.01
ME,Maine,2,50.9,40.1,3,1.01,1.02,1.02
ME_1,Maine 1st,1,47,47,5,1.02,1.05,1.01
ME_2,Maine 2nd,1,55,45,5,1,1.02,1.01
MD,Maryland,10,59,35,5,1.05,0.98,1.02
MA,Massachusetts,11,62.3,28.8,8,1.05,0.98,1.01
MI,Michigan,16,47,45,6,1,1.02,1.01
MN,Minnesota,10,50.4,44.7,6,1.02,1.01,1.02
MS,Mississippi,6,41.4,52.9,8,0.97,1.02,1.01
MO,Missouri,10,44.3,49.1,8,0.96,1.04,1.01
MT,Montana,3,43.9,52.3,7,0.98,1.05,1.02
NE,Nebraska,2,30,58,2,0.96,1.05,1.01
NE_1,Nebraska 1st,1,30,58,2,0.98,1.05,1.01
NE_2,Nebraska 2nd,1,46,48,3,1,1.01,1.02
NE_3,Nebraska 3rd,1,30,58,2,0.95,1.05,1.01
NV,Nevada,6,48.5,40.5,5,1.02,1.04,1.01
NH,New Hampshire,4,51.6,42.4,6,0.98,1.02,1.02
NJ,New Jersey,14,55.3,34.4,4,1.02,0.98,1.01
NM,New Mexico,5,53,39,5,1.03,0.98,1.01
NY,New York,29,60.6,32.7,6,1.05,0.95,1.02
NC,North Carolina,15,48,46.2,4,1.01,1.03,1.01
ND,North Dakota,3,38,55,4,0.98,1.05,1.01
OH,Ohio,18,46.4,46.6,5,0.98,1.03,1.02
OK,Oklahoma,7,35.2,57.5,5,0.95,1.01,1.01
OR,Oregon,7,55.3,34.4,5,1.02,0.96,1.01
PA,Pennsylvania,20,50,43.7,7,0.98,1.02,1.02
RI,Rhode Island,4,55.3,34.4,6,1.02,0.98,1.01
SC,South Carolina,9,43.7,49.6,7,0.98,1.03,1.01
SD,South Dakota,3,27,60,3,0.98,1.03,1.02
TN,Tennessee,11,41.2,52.4,4,0.97,1.05,1.01
TX,Texas,36,46.1,47.1,4,0.97,1.02,1.01
UT,Utah,6,37.4,47.8,6,0.96,1.03,2
VT,Vermont,3,55.3,34.4,5,1.01,0.98,1.01
VA,Virginia,13,51.6,40.2,7,1.03,0.99,1.01
WA,Washington,8,60,32.4,8,1.05,0.96,1.02
WV,West Virginia,5,31,66,7,0.97,1.03,1.01
WI,Wisconsin,10,46.5,43.2,5,0.98,1.02,1.02
WY,Wyoming,3,30,58,8,0.96,1.05,1.01
