id,State,District,DAVG,RAVG
AL_1,Alabama,Alabama 1st,36,64
AL_2,Alabama,Alabama 2nd,36,64
AL_3,Alabama,Alabama 3rd,36,64
AL_4,Alabama,Alabama 4th,20,80
AL_5,Alabama,Alabama 5th,36,64
AL_6,Alabama,Alabama 6th,36,64
AL_7,Alabama,Alabama 7th,64,36
AK,Alaska,Alaska at-large,46,54
AZ_1,Arizona,Arizona 1st,52,48
AZ_2,Arizona,Arizona 2nd,46,54
AZ_3,Arizona,Arizona 3rd,64,36
AZ_4,Arizona,Arizona 4th,32,68
AZ_5,Arizona,Arizona 5th,40,60
AZ_6,Arizona,Arizona 6th,46,54
AZ_7,Arizona,Arizona 7th,85,15
AZ_8,Arizona,Arizona 8th,46,54
AZ_9,Arizona,Arizona 9th,60,40
AR_1,Arkansas,Arkansas 1st,40,60
AR_2,Arkansas,Arkansas 2nd,40,60
AR_3,Arkansas,Arkansas 3rd,40,60
AR_4,Arkansas,Arkansas 4th,40,60
CA_1,California,California 1st,45,55
CA_2,California,California 2nd,77,23
CA_3,California,California 3rd,58,42
CA_4,California,California 4th,45,55
CA_5,California,California 5th,80,20
CA_6,California,California 6th,80,20
CA_7,California,California 7th,55,45
CA_8,California,California 8th,40,60
CA_9,California,California 9th,56,44
CA_10,California,California 10th,52,48
CA_11,California,California 11th,75,25
CA_12,California,California 12th,85,15
CA_13,California,California 13th,88,12
CA_14,California,California 14th,80,20
CA_15,California,California 15th,75,25
CA_16,California,California 16th,57,43
CA_17,California,California 17th,75,25
CA_18,California,California 18th,75,25
CA_19,California,California 19th,75,25
CA_20,California,California 20th,81,19
CA_21,California,California 21st,50,50
CA_22,California,California 22nd,53,47
CA_23,California,California 23rd,35,65
CA_24,California,California 24th,58,42
CA_25,California,California 25th,54,46
CA_26,California,California 26th,62,38
CA_27,California,California 27th,80,20
CA_28,California,California 28th,78,22
CA_29,California,California 29th,80,20
CA_30,California,California 30th,70,30
CA_31,California,California 31st,58,42
CA_32,California,California 32nd,70,30
CA_33,California,California 33rd,70,30
CA_34,California,California 34th,73,27
CA_35,California,California 35th,70,30
CA_36,California,California 36th,60,40
CA_37,California,California 37th,90,10
CA_38,California,California 38th,70,30
CA_39,California,California 39th,52,48
CA_40,California,California 40th,77,23
CA_41,California,California 41st,65,35
CA_42,California,California 42nd,40,60
CA_43,California,California 43rd,77,23
CA_44,California,California 44th,68,32
CA_45,California,California 45th,52,48
CA_46,California,California 46th,70,30
CA_47,California,California 47th,65,35
CA_48,California,California 48th,53,47
CA_49,California,California 49th,56,44
CA_50,California,California 50th,49,51
CA_51,California,California 51st,70,30
CA_52,California,California 52nd,65,35
CA_53,California,California 53rd,70,30
CO_1,Colorado,Colorado 1st,75,25
CO_2,Colorado,Colorado 2nd,60,40
CO_3,Colorado,Colorado 3rd,45,55
