id,name,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL_1,Alabama,6,35.72,64.28,0.01,0.2,99.8,0.0,R
AL_2,Alabama,6,35.44,64.56,0.0,0.2,99.8,0.0,R
AL_3,Alabama,6,35.67,64.33,0.0,0.0,100.0,0.0,R
AL_4,Alabama,6,19.85,80.15,0.0,0.0,100.0,0.0,R
AL_5,Alabama,6,35.91,64.08,0.01,0.2,99.8,0.0,R
AL_6,Alabama,6,35.58,64.42,0.0,0.0,100.0,0.0,R
AL_7,Alabama,1,63.49,36.51,0.01,99.5,0.5,0.0,D
AK,Alaska,5,45.7,54.3,0.0,17.9,82.1,0.0,R
AZ_1,Arizona,3,51.39,48.6,0.01,57.6,42.4,0.0,D
AZ_2,Arizona,5,45.67,54.33,0.0,16.4,83.6,0.0,R
AZ_3,Arizona,1,63.41,36.59,0.01,100.0,0.0,0.0,D
AZ_4,Arizona,6,31.65,68.34,0.01,0.0,100.0,0.0,R
AZ_5,Arizona,6,39.73,60.26,0.0,1.6,98.4,0.0,R
AZ_6,Arizona,5,45.63,54.37,0.0,15.8,84.2,0.0,R
AZ_7,Arizona,1,84.9,15.1,0.0,100.0,0.0,0.0,D
AZ_8,Arizona,5,45.7,54.3,0.0,16.5,83.5,0.0,R
AZ_9,Arizona,1,59.57,40.43,0.0,95.8,4.2,0.0,D
AR_1,Arkansas,6,39.6,60.39,0.01,1.2,98.8,0.0,R
AR_2,Arkansas,6,39.67,60.33,0.01,1.4,98.6,0.0,R
AR_3,Arkansas,6,39.74,60.25,0.0,1.8,98.2,0.0,R
AR_4,Arkansas,6,39.66,60.34,0.01,1.0,99.0,0.0,R
CA_1,California,6,44.46,55.53,0.01,11.3,88.7,0.0,R
CA_2,California,1,76.72,23.27,0.0,100.0,0.0,0.0,D
CA_3,California,1,57.45,42.55,0.01,90.6,9.4,0.0,D
CA_4,California,6,44.63,55.36,0.01,11.6,88.4,0.0,R
CA_5,California,1,79.67,20.32,0.01,100.0,0.0,0.0,D
CA_6,California,1,79.8,20.19,0.0,100.0,0.0,0.0,D
CA_7,California,2,54.7,45.28,0.01,79.4,20.6,0.0,D
CA_8,California,6,39.51,60.48,0.01,1.6,98.4,0.0,R
CA_9,California,1,55.82,44.18,0.01,86.8,13.2,0.0,D
CA_10,California,3,51.62,48.38,0.0,58.5,41.5,0.0,D
CA_11,California,1,74.73,25.26,0.01,100.0,0.0,0.0,D
CA_12,California,1,84.79,15.21,0.0,100.0,0.0,0.0,D
CA_13,California,1,87.95,12.04,0.0,100.0,0.0,0.0,D
CA_14,California,1,79.75,20.25,0.01,100.0,0.0,0.0,D
CA_15,California,1,74.9,25.1,0.0,100.0,0.0,0.0,D
CA_16,California,1,57.06,42.93,0.01,91.0,9.0,0.0,D
CA_17,California,1,74.66,25.34,0.0,100.0,0.0,0.0,D
CA_18,California,1,74.82,25.18,0.0,100.0,0.0,0.0,D
CA_19,California,1,74.68,25.31,0.01,100.0,0.0,0.0,D
CA_20,California,1,80.7,19.29,0.0,100.0,0.0,0.0,D
CA_21,California,4,49.6,50.4,0.0,44.0,56.0,0.0,R
CA_22,California,2,52.8,47.2,0.0,67.5,32.5,0.0,D
CA_23,California,6,34.32,65.68,0.0,0.1,99.9,0.0,R
CA_24,California,1,57.63,42.37,0.0,91.7,8.3,0.0,D
CA_25,California,2,53.48,46.51,0.01,73.6,26.4,0.0,D
CA_26,California,1,61.4,38.6,0.0,98.3,1.7,0.0,D
CA_27,California,1,79.8,20.2,0.01,100.0,0.0,0.0,D
CA_28,California,1,77.91,22.08,0.0,100.0,0.0,0.0,D
CA_29,California,1,79.89,20.11,0.01,100.0,0.0,0.0,D
CA_30,California,1,69.64,30.35,0.0,100.0,0.0,0.0,D
CA_31,California,1,57.74,42.26,0.01,93.1,6.9,0.0,D
CA_32,California,1,69.51,30.48,0.01,100.0,0.0,0.0,D
CA_33,California,1,69.62,30.37,0.01,100.0,0.0,0.0,D
CA_34,California,1,72.93,27.06,0.01,100.0,0.0,0.0,D
CA_35,California,1,69.95,30.05,0.01,100.0,0.0,0.0,D
CA_36,California,1,59.67,40.33,0.01,97.5,2.5,0.0,D
CA_37,California,1,89.86,10.13,0.01,100.0,0.0,0.0,D
CA_38,California,1,69.53,30.46,0.01,100.0,0.0,0.0,D
CA_39,California,3,51.73,48.27,0.0,61.0,39.0,0.0,D
CA_40,California,1,76.51,23.49,0.01,100.0,0.0,0.0,D
CA_41,California,1,64.49,35.51,0.0,100.0,0.0,0.0,D
CA_42,California,6,39.64,60.36,0.0,1.2,98.8,0.0,R
CA_43,California,1,76.56,23.44,0.0,100.0,0.0,0.0,D
CA_44,California,1,67.78,32.21,0.01,100.0,0.0,0.0,D
CA_45,California,3,51.41,48.59,0.01,57.8,42.2,0.0,D
CA_46,California,1,69.61,30.38,0.01,100.0,0.0,0.0,D
CA_47,California,1,64.84,35.15,0.01,99.7,0.3,0.0,D
CA_48,California,2,52.53,47.47,0.0,66.0,34.0,0.0,D
CA_49,California,1,55.57,44.43,0.0,84.9,15.1,0.0,D
CA_50,California,4,48.75,51.24,0.01,36.1,63.9,0.0,R
CA_51,California,1,69.62,30.38,0.0,100.0,0.0,0.0,D
CA_52,California,1,64.58,35.42,0.0,99.8,0.2,0.0,D
CA_53,California,1,70.06,29.93,0.01,100.0,0.0,0.0,D
CO_1,Colorado,1,74.67,25.32,0.0,100.0,0.0,0.0,D
CO_2,Colorado,1,59.42,40.57,0.01,95.9,4.1,0.0,D
CO_3,Colorado,6,44.63,55.36,0.01,11.9,88.1,0.0,R
CO_4,Colorado,6,29.7,70.29,0.01,0.0,100.0,0.0,R
CO_5,Colorado,6,39.7,60.3,0.0,1.6,98.4,0.0,R
CO_6,Colorado,6,42.63,57.36,0.01,6.7,93.3,0.0,R
