id,State,EC Votes,DAVG,RAVG,TAVG,DMI,RMI,TMI
AL,Alabama,9,39,57,5,101,101,101
AZ,Arizona,11,49,51,5,100,102,101
AK,Alaska,3,44,50,5,100,101,101
AR,Arkansas,6,40,53,5,100,101,101
CA,California,55,62,38,5,101,101,101
CO,Colorado,9,54,42,5,101,101,101
DE,Delaware,3,58,37,5,101,101,101
CT,Connecticut,7,56,33,5,101,101,101
DC,District of Columbia,3,85,15,5,101,101,101
FL,Florida,29,47,51,5,101,101,101
GA,Georgia,16,46,52,5,100,101,101
IA,Iowa,6,44,49,5,101,101,101
ID,Idaho,4,30,60,5,101,101,101
HI,Hawaii,4,56,29,5,101,101,101
IL,Illinois,20,60,30,5,101,101,101
IN,Indiana,11,39,53,5,101,101,101
KS,Kansas,6,40,50,5,101,101,101
KY,Kentucky,8,38,55,5,101,101,101
LA,Louisiana,8,38,55,5,101,101,101
MA,Massachusetts,11,62,29,5,101,101,101
MD,Maryland,10,59,35,5,101,101,101
ME,Maine,2,51,40,5,101,101,101
ME_1,Maine 1st,1,55,45,5,101,101,101
ME_2,Maine 2nd,1,47,47,5,101,101,101
MI,Michigan,16,46,47,5,101,101,101
MN,Minnesota,10,49,44,5,101,101,101
MO,Missouri,10,38,49,5,101,101,101
MS,Mississippi,6,38,53,5,101,101,101
MT,Montana,3,40,52,5,101,101,101
NC,North Carolina,15,46,49,5,101,101,101
ND,North Dakota,3,38,55,5,101,101,101
NE,Nebraska,2,30,58,5,101,101,101
NE_1,Nebraska 1st,1,30,58,5,101,101,101
NE_2,Nebraska 2nd,1,46,48,5,101,101,101
NE_3,Nebraska 3rd,1,30,58,5,101,101,101
NH,New Hampshire,4,48,46,5,101,101,101
NJ,New Jersey,14,55,34,5,101,101,101
NM,New Mexico,5,53,39,5,101,101,101
NV,Nevada,6,45,48,5,101,101,101
NY,New York,29,61,33,5,101,101,101
OH,Ohio,18,45,55,5,101,101,101
OK,Oklahoma,7,35,58,5,101,101,101
OR,Oregon,7,55,34,5,101,101,101
PA,Pennsylvania,20,45,55,5,101,103,101
RI,Rhode Island,4,55,34,5,101,101,101
SC,South Carolina,9,42,50,5,101,101,101
SD,South Dakota,3,27,60,5,101,101,101
TN,Tennessee,11,38,52,5,101,101,101
TX,Texas,38,40,48,5,100,101,101
UT,Utah,6,37,52,5,101,101,101
VA,Virginia,13,52,40,5,101,101,101
VT,Vermont,3,55,34,5,101,101,101
WA,Washington,12,60,32,5,101,101,101
WI,Wisconsin,10,51,45,5,101,101,101
WV,West Virginia,5,31,66,5,101,101,101
WY,Wyoming,3,30,58,5,101,101,101
