id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,38.32,56.68,5.0,3.4,96.6,0.0,R
AZ,Arizona,11,4,46.76,48.34,4.9,42.3,57.7,0.0,R
AK,Alaska,3,5,44.26,50.72,5.02,24.7,75.3,0.0,R
AR,Arkansas,6,6,40.75,54.19,5.06,7.7,92.3,0.0,R
CA,California,55,1,64.16,30.8,5.03,100.0,0.0,0.0,R
CO,Colorado,9,1,54.39,40.53,5.08,90.0,10.0,0.0,R
DE,Delaware,3,1,58.01,36.89,5.1,98.1,1.9,0.0,R
CT,Connecticut,7,1,59.41,35.2,5.39,99.2,0.8,0.0,R
DC,District of Columbia,3,1,81.06,14.19,4.75,100.0,0.0,0.0,R
FL,Florida,29,5,44.89,50.38,4.73,27.5,72.5,0.0,R
GA,Georgia,16,5,43.53,51.78,4.69,19.7,80.3,0.0,R
IA,Iowa,6,4,46.28,48.51,5.22,39.3,60.7,0.0,R
ID,Idaho,4,6,31.68,63.15,5.17,0.1,99.9,0.0,R
HI,Hawaii,4,1,62.31,32.07,5.62,99.9,0.1,0.0,R
IL,Illinois,20,1,63.1,31.6,5.3,100.0,0.0,0.0,R
IN,Indiana,11,6,40.22,54.62,5.15,7.1,92.9,0.0,R
KS,Kansas,6,5,43.35,51.38,5.27,18.3,81.7,0.0,R
KY,Kentucky,8,6,40.21,54.86,4.92,7.1,92.9,0.0,R
LA,Louisiana,8,6,38.74,56.1,5.16,2.2,97.8,0.0,R
MA,Massachusetts,11,1,64.63,30.12,5.24,100.0,0.0,0.0,R
MD,Maryland,10,1,59.68,35.25,5.07,99.8,0.2,0.0,R
ME,Maine,2,1,53.08,41.75,5.17,86.6,13.4,0.0,R
ME_1,Maine 1st,1,2,52.38,42.87,4.74,82.2,17.8,0.0,R
ME_2,Maine 2nd,1,4,47.48,47.5,5.02,49.2,50.8,0.0,R
MI,Michigan,16,4,46.83,48.09,5.08,43.1,56.9,0.0,R
MN,Minnesota,10,3,49.22,45.79,4.99,61.2,38.8,0.0,R
MO,Missouri,10,4,44.95,49.95,5.1,29.4,70.6,0.0,R
MS,Mississippi,6,6,41.34,53.55,5.11,7.8,92.2,0.0,R
MT,Montana,3,5,43.76,51.28,4.96,19.9,80.1,0.0,R
NC,North Carolina,15,4,45.76,49.23,5.01,34.6,65.4,0.0,R
ND,North Dakota,3,6,38.59,56.35,5.06,3.3,96.7,0.0,R
NE,Nebraska,2,6,32.39,62.17,5.44,0.1,99.9,0.0,R
NE_1,Nebraska 1st,1,6,32.41,62.2,5.39,0.1,99.9,0.0,R
NE_2,Nebraska 2nd,1,4,46.63,48.33,5.04,41.4,58.6,0.0,R
NE_3,Nebraska 3rd,1,6,32.07,62.51,5.42,0.0,100.0,0.0,R
NH,New Hampshire,4,3,48.38,46.55,5.07,55.6,44.4,0.0,R
NJ,New Jersey,14,1,58.52,36.2,5.28,99.4,0.6,0.0,R
NM,New Mexico,5,1,54.51,40.43,5.06,91.9,8.1,0.0,R
NV,Nevada,6,2,51.46,43.14,5.4,80.0,20.0,0.0,R
NY,New York,29,1,61.37,33.48,5.15,99.6,0.4,0.0,R
OH,Ohio,18,4,46.77,48.03,5.2,42.4,57.6,0.0,R
OK,Oklahoma,7,6,35.61,59.27,5.11,0.4,99.6,0.0,R
OR,Oregon,7,1,58.7,35.96,5.33,98.5,1.5,0.0,R
PA,Pennsylvania,20,4,46.1,48.99,4.9,36.1,63.9,0.0,R
RI,Rhode Island,4,1,58.51,36.25,5.24,98.8,1.2,0.0,R
SC,South Carolina,9,5,44.57,50.46,4.97,24.2,75.8,0.0,R
SD,South Dakota,3,6,29.26,65.33,5.41,0.0,100.0,0.0,R
TN,Tennessee,11,6,42.1,52.88,5.01,11.2,88.8,0.0,R
TX,Texas,38,5,42.73,51.91,5.36,15.1,84.9,0.0,R
UT,Utah,6,6,41.26,53.19,5.55,9.2,90.8,0.0,R
VA,Virginia,13,1,53.76,41.05,5.18,89.4,10.6,0.0,R
VT,Vermont,3,1,58.45,36.19,5.36,99.0,1.0,0.0,R
WA,Washington,12,1,61.84,32.99,5.17,99.9,0.1,0.0,R
WI,Wisconsin,10,4,45.67,49.29,5.04,33.9,66.1,0.0,R
WV,West Virginia,5,6,30.43,64.68,4.89,0.0,100.0,0.0,R
WY,Wyoming,3,6,32.12,62.51,5.37,0.0,100.0,0.0,R
