id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,39.36,57.63,3.01,1.4,98.6,0.0,R
AZ,Arizona,11,4,47.37,49.79,2.84,37.8,62.2,0.0,R
AK,Alaska,3,5,45.04,51.92,3.04,22.8,77.2,0.0,R
AR,Arkansas,6,6,41.71,55.23,3.07,8.4,91.6,0.0,R
CA,California,55,1,60.37,36.71,2.92,99.6,0.4,0.0,R
CO,Colorado,9,1,54.63,42.42,2.96,89.1,10.9,0.0,R
DE,Delaware,3,1,59.24,37.73,3.04,98.4,1.6,0.0,R
CT,Connecticut,7,1,60.95,35.94,3.11,99.3,0.7,0.0,R
DC,District of Columbia,3,1,82.53,14.57,2.9,100.0,0.0,0.0,R
FL,Florida,29,4,46.41,50.65,2.94,33.2,66.8,0.0,R
GA,Georgia,16,5,45.27,51.81,2.92,25.2,74.8,0.0,R
IA,Iowa,6,5,45.67,51.25,3.08,26.3,73.7,0.0,R
ID,Idaho,4,6,32.38,64.43,3.19,0.2,99.8,0.0,R
HI,Hawaii,4,1,63.7,33.01,3.3,99.9,0.1,0.0,R
IL,Illinois,20,1,64.76,32.01,3.23,100.0,0.0,0.0,R
IN,Indiana,11,6,40.81,56.05,3.13,5.6,94.4,0.0,R
KS,Kansas,6,6,42.86,53.87,3.27,12.0,88.0,0.0,R
KY,Kentucky,8,6,39.71,57.14,3.15,3.7,96.3,0.0,R
LA,Louisiana,8,6,39.63,57.22,3.15,3.1,96.9,0.0,R
MA,Massachusetts,11,1,65.8,30.96,3.24,100.0,0.0,0.0,R
MD,Maryland,10,1,60.65,36.34,3.02,99.2,0.8,0.0,R
ME,Maine,2,1,54.18,42.71,3.12,88.0,12.0,0.0,R
ME_1,Maine 1st,1,2,53.18,44.07,2.75,81.2,18.8,0.0,R
ME_2,Maine 2nd,1,3,48.58,48.28,3.13,48.0,52.0,0.0,R
MI,Michigan,16,4,48.13,48.83,3.03,43.9,56.1,0.0,R
MN,Minnesota,10,2,51.03,45.66,3.31,67.5,32.5,0.0,R
MO,Missouri,10,6,42.46,54.32,3.22,10.5,89.5,0.0,R
MS,Mississippi,6,6,40.45,56.38,3.17,4.7,95.3,0.0,R
MT,Montana,3,6,41.99,54.89,3.12,9.2,90.8,0.0,R
NC,North Carolina,15,4,46.97,49.92,3.12,36.0,64.0,0.0,R
ND,North Dakota,3,6,39.66,57.08,3.26,2.3,97.7,0.0,R
NE,Nebraska,2,6,32.89,63.84,3.27,0.1,99.9,0.0,R
NE_1,Nebraska 1st,1,6,32.93,63.84,3.24,0.1,99.9,0.0,R
NE_2,Nebraska 2nd,1,4,47.32,49.52,3.15,39.0,61.0,0.0,R
NE_3,Nebraska 3rd,1,6,33.11,63.67,3.22,0.0,100.0,0.0,R
NH,New Hampshire,4,3,49.41,47.42,3.18,55.4,44.6,0.0,R
NJ,New Jersey,14,1,59.97,36.77,3.26,98.9,1.1,0.0,R
NM,New Mexico,5,1,55.79,41.04,3.17,91.6,8.4,0.0,R
NV,Nevada,6,4,46.87,50.09,3.05,34.8,65.2,0.0,R
NY,New York,29,1,62.78,34.13,3.09,99.9,0.1,0.0,R
OH,Ohio,18,5,43.62,53.53,2.85,13.0,87.0,0.0,R
OK,Oklahoma,7,6,36.39,60.51,3.1,0.4,99.6,0.0,R
OR,Oregon,7,1,59.59,37.1,3.31,98.8,1.2,0.0,R
PA,Pennsylvania,20,5,43.67,53.44,2.89,14.7,85.3,0.0,R
RI,Rhode Island,4,1,59.76,37.05,3.18,98.7,1.3,0.0,R
SC,South Carolina,9,5,44.24,52.66,3.1,18.5,81.5,0.0,R
SD,South Dakota,3,6,30.07,66.53,3.4,0.0,100.0,0.0,R
TN,Tennessee,11,6,41.15,55.68,3.17,7.7,92.3,0.0,R
TX,Texas,38,5,43.62,53.02,3.36,14.4,85.6,0.0,R
UT,Utah,6,6,40.03,56.57,3.4,3.5,96.5,0.0,R
VA,Virginia,13,1,54.6,42.29,3.11,88.6,11.4,0.0,R
VT,Vermont,3,1,59.88,36.91,3.21,98.8,1.2,0.0,R
WA,Washington,12,1,63.01,33.76,3.23,99.8,0.2,0.0,R
WI,Wisconsin,10,2,51.47,45.55,2.98,71.2,28.8,0.0,R
WV,West Virginia,5,6,30.94,66.05,3.01,0.0,100.0,0.0,R
WY,Wyoming,3,6,33.14,63.65,3.21,0.0,100.0,0.0,R
