id,name,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,5,44.65,54.36,0.99,15.5,84.5,0.0,R
AZ,Arizona,1,54.04,43.96,2.0,84.1,15.9,0.0,D
AK,Alaska,5,46.02,51.95,2.03,26.2,73.8,0.0,R
AR,Arkansas,6,0.0,99.0,0.99,0.0,100.0,0.0,R
CO,Colorado,1,54.23,43.8,1.97,85.2,14.8,0.0,D
DE,Delaware,1,65.62,32.38,2.0,100.0,0.0,0.0,D
GA,Georgia,4,48.67,49.28,2.04,45.6,54.4,0.0,R
GA_2,Georgia Special,5,46.72,52.21,1.07,27.9,72.1,0.0,R
IA,Iowa,4,47.94,48.04,4.02,49.0,51.0,0.0,R
ID,Idaho,6,37.64,58.36,4.0,1.1,98.9,0.0,R
IL,Illinois,1,53.18,41.81,5.01,86.8,13.2,0.0,D
KS,Kansas,5,45.87,52.18,1.95,25.3,74.7,0.0,R
KY,Kentucky,6,41.58,53.43,4.99,10.0,90.0,0.0,R
LA,Louisiana,6,37.83,60.18,1.99,1.1,98.9,0.0,R
MA,Massachusetts,1,62.5,36.52,0.99,99.7,0.3,0.0,D
ME,Maine,2,52.25,46.76,0.99,69.2,30.8,0.0,D
MI,Michigan,2,53.05,45.94,1.01,73.6,26.4,0.0,D
MN,Minnesota,2,52.33,46.68,0.99,71.3,28.7,0.0,D
MS,Mississippi,6,43.61,54.41,1.98,11.6,88.4,0.0,R
MT,Montana,4,47.57,51.43,1.0,33.5,66.5,0.0,R
NC,North Carolina,2,51.62,46.33,2.05,67.8,32.2,0.0,D
NE,Nebraska,6,40.08,57.97,1.95,3.0,97.0,0.0,R
NH,New Hampshire,1,58.12,39.85,2.03,96.7,3.3,0.0,D
NJ,New Jersey,1,60.01,34.88,5.11,99.7,0.3,0.0,D
NM,New Mexico,1,55.28,43.7,1.02,86.5,13.5,0.0,D
OK,Oklahoma,6,36.75,61.26,1.99,0.8,99.2,0.0,R
OR,Oregon,1,57.05,40.85,2.1,94.6,5.4,0.0,D
RI,Rhode Island,1,70.21,28.78,1.01,100.0,0.0,0.0,D
SC,South Carolina,5,46.42,52.54,1.04,24.5,75.5,0.0,R
SD,South Dakota,6,39.93,59.0,1.07,2.4,97.6,0.0,R
TN,Tennessee,6,34.99,64.08,0.93,0.2,99.8,0.0,R
TX,Texas,5,45.91,53.08,1.01,21.2,78.8,0.0,R
VA,Virginia,1,56.53,42.46,1.01,92.3,7.7,0.0,D
WV,West Virginia,6,34.77,64.25,0.98,0.2,99.8,0.0,R
WY,Wyoming,6,28.86,70.08,1.06,0.0,100.0,0.0,R
