id,name,democrat,republican,third,democrat_win,republican_win,winner
AL,Alabama,44.99%,54.06%,0.94%,17.2%,82.8%,R
AZ,Arizona,54.27%,43.8%,1.94%,83.9%,16.1%,D
AK,Alaska,46.0%,51.97%,2.04%,25.6%,74.4%,R
AR,Arkansas,0.0%,99.03%,0.96%,0.0%,100.0%,R
CO,Colorado,54.35%,43.62%,2.02%,83.1%,16.9%,D
DE,Delaware,65.31%,32.73%,1.96%,100.0%,0.0%,D
GA,Georgia,48.89%,49.12%,1.99%,46.8%,53.2%,R
GA_2,Georgia Special,46.64%,52.33%,1.03%,24.9%,75.1%,R
IA,Iowa,47.76%,48.35%,3.9%,47.1%,52.9%,R
ID,Idaho,37.8%,58.22%,3.97%,1.6%,98.4%,R
IL,Illinois,53.31%,41.72%,4.97%,86.6%,13.4%,D
KS,Kansas,45.77%,52.16%,2.08%,26.3%,73.7%,R
KY,Kentucky,41.63%,53.39%,4.98%,10.6%,89.4%,R
LA,Louisiana,37.77%,60.32%,1.91%,0.5%,99.5%,R
MA,Massachusetts,62.28%,36.74%,0.98%,99.1%,0.9%,D
ME,Maine,51.8%,47.22%,0.98%,65.4%,34.6%,D
MI,Michigan,53.37%,45.62%,1.01%,77.7%,22.3%,D
MN,Minnesota,52.4%,46.59%,1.01%,70.5%,29.5%,D
MS,Mississippi,43.86%,54.22%,1.92%,14.0%,86.0%,R
MT,Montana,47.58%,51.42%,1.0%,34.3%,65.7%,R
NC,North Carolina,51.59%,46.34%,2.07%,69.4%,30.6%,D
NE,Nebraska,39.59%,58.4%,2.0%,3.0%,97.0%,R
NH,New Hampshire,58.14%,39.88%,1.98%,96.5%,3.5%,D
NJ,New Jersey,60.2%,34.83%,4.97%,99.4%,0.6%,D
NM,New Mexico,55.39%,43.64%,0.97%,87.7%,12.3%,D
OK,Oklahoma,36.8%,61.23%,1.97%,0.3%,99.7%,R
OR,Oregon,57.18%,40.87%,1.94%,95.4%,4.6%,D
RI,Rhode Island,70.48%,28.54%,0.98%,100.0%,0.0%,D
SC,South Carolina,46.77%,52.19%,1.05%,27.8%,72.2%,R
SD,South Dakota,39.8%,59.21%,0.99%,2.3%,97.7%,R
TN,Tennessee,34.94%,64.02%,1.04%,0.1%,99.9%,R
TX,Texas,46.15%,52.91%,0.94%,21.7%,78.3%,R
VA,Virginia,56.24%,42.76%,1.0%,90.2%,9.8%,D
WV,West Virginia,35.03%,63.97%,1.0%,0.3%,99.7%,R
WY,Wyoming,28.76%,70.25%,0.99%,0.0%,100.0%,R
